"filename", "language", "Markdown", "Dart", "JavaScript", "CSS", "C++", "JSON", "HTML", "YAML", "Swift", "XML", "Groovy", "Properties", "comment", "blank", "total"
"d:\Dokumente\Programming\Active Projects\jagdverband_scraper\README.md", "Markdown", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 32
"d:\Dokumente\Programming\Active Projects\jagdverband_scraper\analysis_options.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 23, 4, 30
"d:\Dokumente\Programming\Active Projects\jagdverband_scraper\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 67, 0, 6, 15, 88
"d:\Dokumente\Programming\Active Projects\jagdverband_scraper\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4, 1, 9
"d:\Dokumente\Programming\Active Projects\jagdverband_scraper\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 6, 3, 40
"d:\Dokumente\Programming\Active Projects\jagdverband_scraper\android\app\src\main\res\drawable-night-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"d:\Dokumente\Programming\Active Projects\jagdverband_scraper\android\app\src\main\res\drawable-night\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"d:\Dokumente\Programming\Active Projects\jagdverband_scraper\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"d:\Dokumente\Programming\Active Projects\jagdverband_scraper\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"d:\Dokumente\Programming\Active Projects\jagdverband_scraper\android\app\src\main\res\mipmap-anydpi-v26\ic_launcher.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"d:\Dokumente\Programming\Active Projects\jagdverband_scraper\android\app\src\main\res\values-night-v31\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 7, 1, 20
"d:\Dokumente\Programming\Active Projects\jagdverband_scraper\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 9, 1, 22
"d:\Dokumente\Programming\Active Projects\jagdverband_scraper\android\app\src\main\res\values-v31\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 7, 1, 20
"d:\Dokumente\Programming\Active Projects\jagdverband_scraper\android\app\src\main\res\values\colors.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"d:\Dokumente\Programming\Active Projects\jagdverband_scraper\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 9, 1, 22
"d:\Dokumente\Programming\Active Projects\jagdverband_scraper\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4, 1, 9
"d:\Dokumente\Programming\Active Projects\jagdverband_scraper\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 5, 32
"d:\Dokumente\Programming\Active Projects\jagdverband_scraper\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"d:\Dokumente\Programming\Active Projects\jagdverband_scraper\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 1, 1, 7
"d:\Dokumente\Programming\Active Projects\jagdverband_scraper\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 4, 12
"d:\Dokumente\Programming\Active Projects\jagdverband_scraper\assets\dummydata.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Dokumente\Programming\Active Projects\jagdverband_scraper\assets\jagdzeiten_wildarten.json", "JSON", 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 56
